BORD,QI478,QI478A,QI478E1,QI478E2,QI478E3,QI478E4,QI478E5,QI478E6,QI478E7,QI478E8,QI478E9,QI478E10,QI478F1,QI478F2_A,QI478F2_B,QI478F2_C,QI478F2_D,QI478F2_E,QI478F3,QI478F4,QI478F5,QI478F6,QI478G1,QI478G2_A,QI478G2_B,QI478G2_C,QI478G3,QI478G4,QI478H1,QI478H2,QI478H3,QI478H4,QI478H5,QI478H6,QI478H7,QI478H8_A,QI478H8_B,QI478H9,QI478H10,QI478H11,QI478H12,QI478I1,QI478I2,QI478I3,QI478I4_A,QI478I4_B,QI478I5,QI478I6,QI478I7,QI478I8,QI478J1,QI478J2,QI478J3,QI478J4_A,QI478J4_B,QI478J5,QI478J6,QI478J7,QI478J8,CASEID,BIDX,ID1
2,59,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,2,1,2,1,      137709101  1,2,2023
3,40,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,1,1, , , , , , , , , ,      137709101  1,1,2023
3,10,0,3,1,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      137805601  2,1,2023
2,60,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,2,3,2,2,      138904101  2,1,2023
2,68,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,2,1,      138914001  4,1,2023
1,55,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,2,      138914101  1,2,2023
2,20,0, , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      138914101  1,1,2023
4,68,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      138914201  2,1,2023
3,23,0, , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139203601  2,1,2023
1,29,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      139204301  2,1,2023
1,32,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,1,2,2, , , , , , , , , , , , , , , , , , ,      139206801  3,1,2023
3,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , ,      139208401  2,1,2023
2,67,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,2,1,2,2,      139208901  1,2,2023
3,13,0, , , , , , , , , , ,5,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139210502  2,1,2023
1,60,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,1,1,3,2,1,      139601001  4,1,2023
1,29,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,1,2,1,2,2, , , , , , , , , , , , , , , , , , ,      139605601  5,1,2023
3,39,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,3,2,2, , , , , , , , , ,      139609101  2,1,2023
4,53,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,2,1,2,2,3, , , , , , , , , ,      139609401  2,1,2023
2,32,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,2,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , ,      139615801  2,1,2023
2,29,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,2,1,1,1,1,3,1,2, , , , , , , , , , , , , , , , , , ,      139619201  2,1,2023
2,59,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,1,      139626401  1,2,2023
3,13,0, , , , , , , , , , ,1,1,1,2,2,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139626401  1,1,2023
3,61,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,2,2,1,      139803501  2,1,2023
3,14,0, , , , , , , , , , ,6,1,1,2,2,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139804601  2,1,2023
1,36,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , ,      139805101  2,1,2023
1,58,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,1,2,1,2,1,      139806001  1,1,2023
2,11,0,1,1,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139807302  2,1,2023
1,20,0, , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139809201  5,1,2023
2,9,0,3,2,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      139817001  2,1,2023
2,17,0, , , , , , , , , , ,6,1,2,2,2,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140103801  2,1,2023
2,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,      140104001  2,1,2023
3,56,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,2,      140106401  2,2,2023
4,15,0, , , , , , , , , , ,3,2,1,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140106401  2,1,2023
1,37,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,1,2,1, , , , , , , , , ,      140107101  6,1,2023
3,58,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,2,1,      140108501  2,2,2023
4,18,0, , , , , , , , , , ,6,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140108501  2,1,2023
1,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,1,1,1,1,3,2,2, , , , , , , , , , , , , , , , , , ,      140109401  2,1,2023
2,38,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,3,2,1, , , , , , , , , ,      140300101  2,1,2023
4,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,1,1,1,2,1,2,2,2, , , , , , , , , , , , , , , , , , ,      140301801  2,2,2023
5,9,0,3,1,2,1,1,1,2,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140301801  2,1,2023
2,38,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,2,1, , , , , , , , , ,      140302501  2,2,2023
1,53,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,1,2,2, , , , , , , , , ,      140303301  2,2,2023
2,14,0, , , , , , , , , , ,6,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140303301  2,1,2023
1,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,2,2,3,2,2, , , , , , , , , , , , , , , , , , ,      140305801  2,1,2023
3,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,2,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      140310501  2,1,2023
1,65,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,3,      140310501  7,2,2023
2,29,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,2,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , ,      140310501  7,1,2023
2,39,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,2,2,2, , , , , , , , , ,      140310801  2,1,2023
5,44,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,1, , , , , , , , , ,      140901301  2,1,2023
3,37,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,1,2,2,1, , , , , , , , , ,      140903701  1,2,2023
1,60,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,3,2,4,      140905301  2,3,2023
2,28,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,1,1,2,2,1, , , , , , , , , , , , , , , , , , ,      140905301  2,2,2023
3,9,0,2,1,2,1,1,1,2,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140905301  2,1,2023
2,19,0, , , , , , , , , , , , , , , , , , , , ,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      140905801  2,1,2023
3,58,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,1,1,2,      140908701  2,1,2023
1,40,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,2,1,2,2, , , , , , , , , ,      140913401  2,2,2023
1,46,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,2,2,2, , , , , , , , , ,      140913402  2,1,2023
2,50,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,1,1,2,3,2,2, , , , , , , , , ,      140914401  1,1,2023
2,14,0, , , , , , , , , , ,6,1,1,2,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141004201  2,1,2023
5,51,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,1,2,1,1, , , , , , , , , ,      141005401  2,2,2023
6,23,0, , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141005401  2,1,2023
1,54,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,1,3,1,1, , , , , , , , , ,      141005601  2,2,2023
2,19,0, , , , , , , , , , , , , , , , , , , , ,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141005601  2,1,2023
2,15,0, , , , , , , , , , ,4,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141009401  2,1,2023
3,13,0, , , , , , , , , , ,6,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141013501  2,1,2023
3,20,0, , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141015001  2,1,2023
1,57,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,2,      141017601  3,1,2023
2,21,0, , , , , , , , , , , , , , , , , , , , ,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141103301  2,1,2023
2,55,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      141107901  2,2,2023
3,16,0, , , , , , , , , , ,1,1,1,2,2,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141107901  2,1,2023
3,41,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141111801  2,1,2023
3,59,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,3,1,2,      141111901  2,1,2023
2,30,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,2,1,3,2,1, , , , , , , , , , , , , , , , , , ,      141117601  2,1,2023
7,49,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,1,1,2,2,2,2,2, , , , , , , , , ,      141118801  2,2,2023
8,11,0,5,2,1,2,1,2,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141118801  2,1,2023
2,44,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,1,1,1,2,1,2,2, , , , , , , , , ,      141401201  2,1,2023
1,12,0,4,1,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141402401  2,1,2023
3,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , ,      141403001  2,1,2023
1,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,1,1,1,1,3,2,1, , , , , , , , , , , , , , , , , , ,      141406701  2,1,2023
2,10,0,2,2,1,1,1,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141407701  3,1,2023
1,47,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,2,1,2,1, , , , , , , , , ,      141410001  2,1,2023
3,25,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,1,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      141410701  4,1,2023
6,53,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,1,2,1, , , , , , , , , ,      141702701  2,1,2023
1,10,0,3,1,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141702701  9,1,2023
2,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , ,      141703801  4,1,2023
4,58,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,2,      141706501  2,1,2023
2,20,0, , , , , , , , , , , , , , , , , , , , ,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141709201  2,1,2023
2,45,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,1,3,2,2, , , , , , , , , ,      141710001  2,1,2023
5,47,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,2,2,1, , , , , , , , , ,      141710901  2,1,2023
1,59,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      141715101  3,2,2023
2,59,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      141715101  3,1,2023
7,51,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1, , , , , , , , , ,      141716501  2,1,2023
2,21,0, , , , , , , , , , , , , , , , , , , , ,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141800101  2,1,2023
1,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , ,      141801001  1,1,2023
4,29,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , ,      141803801  2,1,2023
3,12,0,6,1,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      141806501  2,1,2023
1,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,1,1,3,2,2, , , , , , , , , , , , , , , , , , ,      141808201  2,2,2023
1,11,0,2,1,2,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142400701  2,1,2023
4,38,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,2, , , , , , , , , ,      142404701  2,1,2023
4,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      142406501  2,1,2023
2,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,1,2,1,1,1,1,2,2,1, , , , , , , , , , , , , , , , , , ,      142410001  2,1,2023
3,27,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,1,2,1,1,1,2,2,1, , , , , , , , , , , , , , , , , , ,      142413901  1,1,2023
2,12,0,4,2,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142415901  2,1,2023
1,62,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,2,      142416201  2,2,2023
2,21,0, , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142416201  2,1,2023
1,54,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,2,2,1, , , , , , , , , ,      142602001  2,1,2023
4,24,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,2,1,1,1,1,1,3,1,1, , , , , , , , , , , , , , , , , , ,      142603101  2,1,2023
5,20,0, , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142604501  2,1,2023
1,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,1,1,2,1,2, , , , , , , , , ,      142611901  2,1,2023
1,18,0, , , , , , , , , , ,6,1,2,2,2,2,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142612001  2,1,2023
3,41,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,1,2,1,2,2,4, , , , , , , , , ,      142612301  1,1,2023
1,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , ,      142612301  4,1,2023
1,50,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,2,2, , , , , , , , , ,      142700701  2,2,2023
2,22,0, , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142700701  2,1,2023
4,61,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,2,2,1,2,2,      142700801  2,1,2023
3,56,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,3,1,1,      142700901  2,2,2023
2,46,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,2,2,1,2,1, , , , , , , , , ,      142701001  2,1,2023
2,58,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,2,1,2,1,      142705301  2,1,2023
3,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      142705401  2,2,2023
1,50,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,2,1,2,1,2, , , , , , , , , ,      142705501  2,2,2023
2,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,1,1,2,1,3,2,2, , , , , , , , , , , , , , , , , , ,      142705501  2,1,2023
1,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,1,1,1, , , , , , , , , ,      142714601  2,1,2023
1,42,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,1,2,1,2,2, , , , , , , , , ,      142714701  2,1,2023
1,32,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,1,1,1,1,2,2,1, , , , , , , , , , , , , , , , , , ,      142714901  2,1,2023
3,41,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,2,2, , , , , , , , , ,      142801101  2,1,2023
1,32,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , ,      142801401  2,1,2023
1,16,0, , , , , , , , , , ,6,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142801502  2,1,2023
2,42,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,2,2, , , , , , , , , ,      142801902  2,1,2023
1,22,0, , , , , , , , , , , , , , , , , , , , ,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142803901  4,1,2023
2,70,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,2,2,2,      142804001  2,1,2023
1,23,0, , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      142804001  4,1,2023
1,66,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      142804201  1,1,2023
3,46,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,2,1, , , , , , , , , ,      143501201  2,1,2023
2,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,2,1,2,2,2, , , , , , , , , , , , , , , , , , ,      143506801  3,1,2023
1,54,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,1,1,2,1,2,2, , , , , , , , , ,      143509301  4,1,2023
1,29,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,1,2,2,2,1,1,1,3,1,2, , , , , , , , , , , , , , , , , , ,      143510101  5,1,2023
3,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,3,1,1, , , , , , , , , ,      143726801  2,1,2023
2,63,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,2,1,      143726902  2,2,2023
3,21,0, , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      143726902  2,1,2023
2,40,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,1,3,1,1, , , , , , , , , ,      143727001  2,1,2023
2,52,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,3,2,2, , , , , , , , , ,      143727101  3,1,2023
2,15,0, , , , , , , , , , ,3,2,2,2,2,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      143727201  5,1,2023
3,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2,1,1,1,2,3,2,2, , , , , , , , , , , , , , , , , , ,      143727502  2,1,2023
1,60,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,2,2,2,1,      143728001  4,1,2023
6,45,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1, , , , , , , , , ,      143736201  2,1,2023
1,60,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,1,1,3,2,2,      143736201  6,2,2023
1,61,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,1,2,2,      143736201 10,1,2023
4,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , ,      143736201 12,1,2023
5,61,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,2,1,1,1,      143736301  2,1,2023
1,30,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,1,1,1,2,1,2,2, , , , , , , , , , , , , , , , , , ,      143736302  2,1,2023
3,45,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,1,1,1,2,2,1, , , , , , , , , ,      143736401  2,1,2023
1,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,3,2,1, , , , , , , , , , , , , , , , , , ,      143736401  7,1,2023
2,57,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,3,2,1,      144000101  2,1,2023
1,13,0, , , , , , , , , , ,4,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      144000401  2,1,2023
1,45,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,2,1,2,1, , , , , , , , , ,      144002101  2,1,2023
5,26,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      144002201  2,1,2023
1,50,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,1,1,1,1,2,2,2, , , , , , , , , ,      144002601  7,1,2023
