BORD,QI478,QI478A,QI478E1,QI478E2,QI478E3,QI478E4,QI478E5,QI478E6,QI478E7,QI478E8,QI478E9,QI478E10,QI478F1,QI478F2_A,QI478F2_B,QI478F2_C,QI478F2_D,QI478F2_E,QI478F3,QI478F4,QI478F5,QI478F6,QI478G1,QI478G2_A,QI478G2_B,QI478G2_C,QI478G3,QI478G4,QI478H1,QI478H2,QI478H3,QI478H4,QI478H5,QI478H6,QI478H7,QI478H8_A,QI478H8_B,QI478H9,QI478H10,QI478H11,QI478H12,QI478I1,QI478I2,QI478I3,QI478I4_A,QI478I4_B,QI478I5,QI478I6,QI478I7,QI478I8,QI478J1,QI478J2,QI478J3,QI478J4_A,QI478J4_B,QI478J5,QI478J6,QI478J7,QI478J8,CASEID,BIDX,ID1
5,16,0, , , , , , , , , , ,4,1,2,2,2,1,1,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003513901  2,1,2023
8,67,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,2,1,      003514001  2,1,2023
1,41,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,1,1,2,1,2,1, , , , , , , , , ,      003514101  2,2,2023
2,25,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,2,2,1,2,1,1,2,1,1, , , , , , , , , , , , , , , , , , ,      003514101  2,1,2023
5,58,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,2,1,2,1,      003514601  1,2,2023
6,24,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,2,2,1,1,2,2,1, , , , , , , , , , , , , , , , , , ,      003514601  1,1,2023
3,24,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,2,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      003515101  1,1,2023
2,38,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,2,1,1,1, , , , , , , , , ,      003800101  2,1,2023
1,48,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,1,2,2,2, , , , , , , , , ,      003800701  2,1,2023
1,70,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,1,2,      003812301  2,2,2023
2,23,0, , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003812301  2,1,2023
5,11,0,3,1,2,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003812501  2,1,2023
3,64,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,1,1,      004001301  2,3,2023
4,30,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,1,1,1,1,2,1,1,2, , , , , , , , , , , , , , , , , , ,      004001301  2,2,2023
5,30,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , ,      004001301  2,1,2023
3,70,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,1,2,1,2,2,      004012001  2,3,2023
4,48,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,1,1,1,2, , , , , , , , , ,      004012001  2,2,2023
5,15,0, , , , , , , , , , ,4,1,1,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      004012001  2,1,2023
3,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,1,1,1,1,1,2,1,2,2, , , , , , , , , , , , , , , , , , ,      004012201  2,1,2023
2,19,0, , , , , , , , , , , , , , , , , , , , ,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      004012301  2,1,2023
1,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,1,2,1, , , , , , , , , ,      004012401  7,1,2023
1,62,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,2,1,2,2,      004013901  2,1,2023
1,53,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,2,1,1,2,3,2,1, , , , , , , , , ,      004014001  3,1,2023
1,10,0,2,2,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      004202901  2,1,2023
1,42,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,1,2,2, , , , , , , , , ,      004211201  2,1,2023
1,68,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,1,      004211801  2,2,2023
2,19,0, , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      004211801  2,1,2023
5,57,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      004211901  2,1,2023
